,random,naive,mfr,recommender,recommender one-hot,popularity,popularity one-hot,tcn,tcn one-hot,des,des on-hot,Parrot 50
220,0,0,0,0,0,0,0,0,0,0,0,100
221,0,0,0,0,0,0,0,0,0,0,0,100
222,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,100
225,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,100
227,0,0,0,0,0,0,0,0,0,0,0,100
228,0,0,0,0,0,0,0,0,0,0,0,100
229,0,0,0,0,0,0,0,0,0,0,0,100
230,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,100
232,0,0,0,0,0,0,0,0,0,0,0,100
233,0,0,100,0,0,0,0,0,0,100,100,100
234,0,0,0,0,0,0,0,0,0,0,0,100
235,0,0,0,0,0,0,0,0,0,0,0,100
236,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,100
239,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,100
242,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,100
244,0,0,0,0,0,0,0,0,0,0,0,100
245,0,0,0,0,0,0,100,0,0,0,0,100
246,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,100
248,0,0,0,0,0,0,0,0,0,0,0,100
249,0,0,0,0,0,0,0,0,0,0,0,100
250,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,100
253,0,0,0,0,0,0,0,0,0,0,0,100
254,0,0,0,0,0,0,0,0,0,0,0,100
255,0,0,100,0,0,0,0,100,100,100,100,100
256,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,100
258,0,0,0,0,0,0,0,0,0,0,0,100
259,0,0,0,0,0,0,0,0,0,0,0,100
260,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,100
262,0,0,0,0,0,0,0,0,0,0,0,100
263,0,0,0,0,0,0,0,0,0,0,0,100
264,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,100
267,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,100
269,0,0,0,0,0,0,0,0,0,0,0,100
270,0,0,0,0,0,0,0,0,0,0,0,100
271,0,0,0,0,0,0,0,0,0,0,0,100
272,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,100
275,0,0,0,0,0,0,0,0,0,0,0,100
276,0,0,0,0,0,0,0,0,0,0,0,100
277,100,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,100
280,0,0,0,0,0,0,0,0,0,0,0,100
281,0,0,0,0,0,0,0,0,0,0,0,100
282,0,0,0,0,0,0,0,0,0,0,0,100
283,0,0,0,0,0,0,0,0,0,0,0,100
284,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,100
