,random,naive,mfr,recommender,recommender one-hot,tcn,tcn one-hot,zero,parrot
16,4.999999998834866,4.999999999409667,4.9999999987575245,4.999999999172451,4.999999998883614,4.9999999991116555,4.720196113417004,4.999999999073303,1.5724822692042089
17,4.9999999988288115,4.9999999994104805,4.999999998736234,4.999999999094957,4.999999998864268,4.999999999060692,4.720196113336187,4.999999999060286,1.4404726727114259
18,4.999999998824167,4.999999999422855,4.999999998747177,4.9999999990544755,4.999999998799067,4.999999999048702,4.720196113350322,4.999999999058827,1.3139633861045568
19,4.999999998798298,4.999999999432653,4.999999998724805,4.999999999053875,4.999999998741777,4.999999999028455,4.720196113330065,4.999999999043231,1.1925144600471456
20,4.999999985881885,4.999999986532078,4.999999985838355,4.999999986077475,4.999999985843373,4.999999986145256,4.7201961004349595,4.999999986138694,1.1925144471370448
21,5.844808475646174,5.844408417372967,5.861166983827706,5.798893910196618,5.837339802130933,5.790469391686431,5.537394233033826,5.793181394025133,1.9511141957854827
22,6.718829339763654,6.721274213562758,6.749663976654553,6.638568400616199,6.7250488375532,6.610646935082907,5.978945675445673,6.62744264267521,2.29618013450054
23,6.7188293398099805,6.721274213540351,6.749663976641618,6.63856840065653,6.725048837568452,6.6106469350521575,5.978945675475759,6.627442642722111,2.2324352495967106
24,7.536137185557508,7.527180024634752,7.588853405775418,7.32249393921287,7.130791579786428,7.367456476344864,6.810550261211199,7.383939334074299,2.940184261027294
25,7.536137185428491,7.527180024448171,7.58885340559576,7.322493939109205,7.1307915796865755,7.3674564762454295,6.810550261016671,7.383939333978011,2.8985005069093543
26,7.536137185271552,7.527180024299829,7.588853405422162,7.322493938984734,7.130791579571999,7.367456476089876,6.810550260924198,7.383939333858561,2.898500506793033
27,7.536137185186599,7.52718002418584,7.588853405338962,7.322493938895738,7.130791579474043,7.3674564760163435,6.810550260827704,7.383939333776979,2.8985005067204344
28,7.53613718509723,7.527180024094512,7.5888534052293934,7.322493938828798,7.130791579382953,7.367456475942164,6.810550260721725,7.383939333653955,2.898500506588105
29,7.348449024315681,7.33476593571915,7.439322137952674,7.318726178308134,6.946490950521202,7.367456473436585,6.648272144569575,7.3839393280824455,2.8644603335722363
30,7.348449024218638,7.334765935675513,7.439322137803861,7.318726178229539,6.946490950445065,7.367456473370797,6.648272144507208,7.383939327985228,2.845850683064825
31,7.348449024160807,7.334765935623068,7.439322137633887,7.318726178174121,6.946490950367531,7.367456473309942,6.648272144460027,7.383939327857517,2.827805226933435
32,7.34844902405223,7.334765935458448,7.439322137515731,7.31872617814114,6.946490950249894,7.367456473232109,6.648272144352166,7.383939327711044,2.8102905587049922
33,7.348449023992227,7.334765935433429,7.43932213745264,7.31872617808487,6.94649095007318,7.367456473145501,6.648272144245514,7.383939327654486,2.7932751809272585
34,7.3484490239662605,7.334765935295267,7.439322137389902,7.3187261780197925,6.946490949925454,7.3674564729855545,6.648272144230403,7.3839393275097365,2.7932751808955087
35,7.348449023914292,7.334765935258192,7.4393221372766245,7.318726177990248,6.946490949864927,7.367456472842352,6.63789292267463,7.383939327478285,2.739772769545396
36,7.348449023765164,7.334765935201298,7.439322137111022,7.318726177932684,6.946490949808159,7.367456472748831,6.63789292257999,7.383939327436391,2.7256100111629675
37,7.348449023726027,7.334765935152432,7.439322137061652,7.318726177889606,6.946490949634761,7.367456472651864,6.63789292252659,7.383939327369086,2.7118105179908154
38,7.17300641806855,7.151664178050892,7.300503467212378,7.318726168260113,6.777937327322321,7.367456471991782,6.478918836942375,7.383939325158538,2.3090331981971564
39,7.173006418060078,7.151664177904559,7.300503467167359,7.31872616825273,6.777937327278193,7.3674564719932985,6.478918836913997,7.383939325134049,2.3090331981550247
40,7.173006417981869,7.1516641778698835,7.300503467112827,7.318726168247078,6.777937327236649,7.367456471902985,6.478918836821802,7.383939325073039,2.3056485858788602
41,7.173006417978393,7.151664177842688,7.30050346698874,7.318726168227526,6.777937327199885,7.367456471894021,6.478918836749533,7.38393932502904,2.3023449684193085
42,7.173006417903475,7.151664177757056,7.300503466921284,7.318726168220965,6.777937327120901,7.367456471857962,6.478918836626935,7.383939325033492,2.2968704462750997
43,7.173006417830498,7.151664177760147,7.300503466886254,7.318726168211992,6.777937327020316,7.367456471863396,6.478918836554153,7.383939325035286,2.296870446290333
44,7.173006417843088,7.151664177733479,7.30050346685536,7.318726168226216,6.7779373268416245,7.367456471814674,6.478918836562322,7.383939324977298,2.2968704462843585
45,7.173006417825837,7.151664177704291,7.3005034667869,7.3187261682423275,6.777937326846425,7.36745647179552,6.478918836566319,7.383939324848639,2.290200537176757
46,7.1730064176787804,7.151664177517724,7.300503466642091,7.318726168260046,6.7779373267396466,7.367456471695224,6.478918836477543,7.383939324833579,2.287533240043275
47,7.173006417689724,7.151664177529017,7.30050346658146,7.318726168202157,6.777937326760566,7.367456471712094,6.478918836419184,7.383939324802235,2.2875332400054775
48,7.474969009442442,7.51817993538673,7.639930479504323,7.584380460416342,7.094307637251036,7.633316025360877,6.805355855192014,7.6426325191958115,2.7322615645221213
49,7.474969009510259,7.518179935449932,7.639930479578527,7.584380460493136,7.094307637323043,7.633316025439179,6.805355853615349,7.642632519271302,2.7322615645859876
50,7.47496900962354,7.518179935497121,7.639930479672717,7.58438046055303,7.094307637429996,7.633316025526224,6.80535585371225,7.642632519363751,2.732261564615532
51,7.474969009752699,7.518179935633523,7.6399304797844545,7.584380460675315,7.094307637476423,7.6333160255293775,6.805355853759812,7.6426325194870905,2.7322615646686885
52,7.474969009887099,7.51817993564325,7.639930479928224,7.584380460793181,7.094307637609131,7.633316025539628,6.8053558538636105,7.642632519553868,2.73226156373427
53,7.474969010033654,7.518179935701197,7.639930480100673,7.5843804609272825,7.094307637769264,7.6333160256608465,6.805355854009168,7.642632519731714,2.732261557439202
54,7.47496901017901,7.518179935858771,7.639930480201839,7.584380461076391,7.094307637929874,7.633316025836869,6.805355854206195,7.642632519840074,2.7322615450817547
55,7.474969010359331,7.518179936001898,7.639930480335312,7.584380461131643,7.094307638046693,7.6333160260408395,6.805355854420917,7.642632520030693,2.7322615452726824
56,7.474969010441866,7.5181799361670265,7.639930480519551,7.584380461336499,7.094307638222964,7.633316026243256,6.805355854643716,7.642632520267178,2.7322615454990493
57,8.433425421238457,8.471534995623346,8.601254796755246,8.530942381834675,8.017750999354238,8.583656719334167,7.7632886876085605,8.58930671702444,3.3997110237652404
58,8.43342542128545,8.471534995752021,8.601254796881882,8.530942381927662,8.017750999480748,8.583656719305964,7.76328868773884,8.589306717146592,3.3997110231765695
59,8.247203121418652,8.278844632342942,8.446386802206991,8.305106790736376,7.849752350875861,8.36041161314824,7.6070567189416805,8.357537204804412,3.181039527965381
60,8.247203121479137,8.27884463220997,8.44638680224661,8.30510679077781,7.849752350913365,8.36041161314028,7.607056718958111,8.357537204805457,3.1810395280241215
61,7.865772469812384,7.910813618204507,8.10544746814586,7.798457105255134,7.484220398403003,7.864320052840548,7.2542851907870265,7.854705924103298,2.703784690299075
62,7.828169715521117,7.884460185619163,8.087961825014995,7.79662679416431,7.466994311921904,7.857401262788434,7.223199452104995,7.850787850793546,2.703784684848558
63,7.8281697154440595,7.884460185630542,8.087961824893014,7.796626794052298,7.466994311808709,7.857401262822382,7.223199451865573,7.850787850827038,2.7037846837682284
64,7.82816971545617,7.8844601856531,8.087961824845692,7.796626794037773,7.466994311801053,7.857401262846251,7.223199451875997,7.850787850780495,2.703784683704959
65,7.828169715347712,7.8844601856825625,8.08796182467536,7.7966267939699305,7.466994311653485,7.857401262801685,7.223199451723829,7.850787850815669,2.7037846835130974
66,7.828169715306616,7.8844601856058185,8.087961824629689,7.7966267939745295,7.466994311466522,7.857401262824284,7.223199451692595,7.850787850835643,2.7037846835287933
67,7.8281697152869185,7.884460185540377,8.087961824601036,7.796626793981378,7.466994311430231,7.857401262756974,7.223199451688122,7.850787850860403,2.703784683451231
68,7.828169715237229,7.884460185465432,8.087961824460503,7.796626793904693,7.466994311297755,7.857401262683848,7.22319945171959,7.8507878508601845,2.703784683466576
69,7.828169693460243,7.884460161180911,8.087961802923635,7.796626774532123,7.466994288779588,7.857401243083064,7.2231994320467505,7.850787831604978,2.7037846626440722
70,7.8281696955871585,7.884460163485098,8.08796180506069,7.796626776706985,7.4669942910912335,7.857401245403658,7.223199434319459,7.8507878339299,2.7037846648287633
71,7.617163048956521,7.667034725161408,7.909118265594512,7.533720892718094,7.269172803282855,7.602256666874732,7.029595188504752,7.591833972199083,2.2793572665932613
72,7.617163050558783,7.6670347267768175,7.909118267088753,7.533720894355008,7.269172804829824,7.602256668505466,7.029595190077995,7.5918339737680105,2.27935726817596
73,7.617163052167437,7.667034728248778,7.909118268677723,7.533720895908055,7.26917280645735,7.602256670130014,7.0295951916487995,7.591833975416307,2.279357269788203
74,7.502934739409982,7.56036011792785,7.848199175465878,7.533720896905622,7.180275686565224,7.602256670699922,6.956895136369491,7.59183397621771,2.1219325920533216
75,7.502934739678141,7.560360118209132,7.848199175777921,7.533720897132564,7.1802756868068744,7.6022566710228645,6.956895136637881,7.591833976500216,2.121932592337541
